model,threshold,roc_auc,accuracy,precision,recall,f1
XGBoost_fixed,0.31195375323295593,0.8976257056121941,0.8473223390414572,0.6432295336057489,0.716078431372549,0.6777019002375297
RandomForest_fixed,0.3248666606163031,0.8829568812296493,0.8438412039804494,0.6451080432172869,0.6743529411764706,0.6594063961960273
LogisticRegression_fixed,0.6003556891054338,0.8744650215416115,0.8288266113435775,0.6026706635781441,0.6938039215686275,0.645034271547324
